Search,Expansions,Goal Tests,New Nodes,Time elapsed,Plan Length,Optimality,Problem,Case
A* h_1,55,57,224,0.043659,6,Yes,problem1,heuristic
A* h_ignore_preconditions,41,43,170,0.050567,6,Yes,problem1,heuristic
A* h_pg_levelsum,11,13,50,2.400568,6,Yes,problem1,heuristic
A* h_1,4852,4854,44030,48.006498,9,Yes,problem2,heuristic
A* h_ignore_preconditions,1506,1508,13820,15.426104,9,Yes,problem2,heuristic
A* h_pg_levelsum,86,88,841,289.391001,9,Yes,problem2,heuristic
A* h_1,18235,18237,159716,452.494614,12,Yes,problem3,heuristic
A* h_ignore_preconditions,5118,5120,45650,99.098676,12,Yes,problem3,heuristic
A* h_pg_levelsum,408,410,3758,2017.625442,12,Yes,problem3,heuristic
breadth_first_search,43,56,180,0.03402,6,Yes,problem1,non-heuristic
depth_first_graph_search,12,13,48,0.015669,12,No,problem1,non-heuristic
uniform_cost_search,55,57,224,0.042764,6,Yes,problem1,non-heuristic
breadth_first_tree_search,1458,1459,5960,1.041977,6,Yes,problem1,non-heuristic
depth_limited_search,101,271,414,0.098663,50,No,problem1,non-heuristic
breadth_first_search,3343,4609,30509,15.074803,9,Yes,problem2,non-heuristic
depth_first_graph_search,582,583,5211,3.40841,575,No,problem2,non-heuristic
uniform_cost_search,4852,4854,44030,48.573169,9,Yes,problem2,non-heuristic
breadth_first_search,14663,18098,129631,109.917191,12,Yes,problem3,non-heuristic
depth_first_graph_search,18235,18237,159716,393.794051,12,Yes,problem3,non-heuristic
uniform_cost_search,627,628,5176,3.479658,596,No,problem3,non-heuristic
